Mouse symbol	Group	log2FC	Significance.level
Arhgef28	new	0.279858514794736	0
Rbfox3	old	-0.148293646642927	1
Rbfox3	new	-0.0803600132139501	0
Grina	old	-0.1483281398351	1
Grina	new	0.0310419936785023	0
Pcdh19	old	0.283931817032712	1
Pcdh19	new	0.0463498762376665	0
Plxnd1	old	0.293478688444655	1
Plxnd1	new	0.335608077024751	0
Gria4	old	0.182089265420108	1
Gria4	new	-0.0803921398730908	0
Rps27a	old	-0.162273332328737	1
Rps27a	new	-0.0420081703600466	0
Pank3	old	0.165668443042722	1
Pank3	new	-0.153603148418905	0
Trp53bp1	old	0.217585998305495	1
Trp53bp1	new	-0.117914513711503	0
Ftl1	old	-0.159089978276718	1
Ftl1	new	0.0373395803992608	0
Meis1	old	-0.741653255082405	1
Meis1	new	0.683547241135952	0
Fndc10	old	-0.224738391320754	1
Fndc10	new	-0.189114041649871	0
Dbndd2	old	-0.257335793692641	1
Dbndd2	new	-0.146714319386698	0
Rps3a1	old	-0.153193391833992	1
Rps3a1	new	-0.0304749312199987	0
Ccdc30	old	0.303139739777346	1
Ccdc30	new	-0.0128699565001605	0
Esyt2	old	0.203788985624868	1
Esyt2	new	0.058012657663005	0
Cacna2d1	old	0.171139019787406	1
Cacna2d1	new	-0.0165769280215193	0
Bcas3	old	-0.221318957946052	1
Bcas3	new	0.0453702750971327	0
Adnp	old	0.380385208767846	1
Adnp	new	0.142377112503087	0
Calb1	old	0.19785581883854	1
Calb1	new	0.123840636118293	0
Glrx	old	-0.19725877808967	1
Glrx	new	-0.133202591848755	0
Pamr1	old	-0.327442913039817	1
Pamr1	new	-0.397164050778339	0
Agl	old	0.192730675944212	1
Agl	new	-0.0465260501430086	0
Rian	old	0.121568107235199	1
Rian	new	0.058064378638991	0
Gprc5b	old	-0.204213520689364	1
Gprc5b	new	-0.0336922041804425	0
Arfgef3	old	0.159055721129719	1
Arfgef3	new	-0.162478061782232	0
Qdpr	old	-0.313432383563942	1
Qdpr	new	-0.207609700001509	0
Asic2	old	-0.199378926249545	1
Asic2	new	-0.0485408198283801	0
Bmi1	old	0.183774169467624	1
Bmi1	new	-0.03355103593214	0
Ppp1r12a	old	0.150106085461904	1
Ppp1r12a	new	0.04159680865652	0
