Mouse symbol	FC.old	log2FC.old	fdr.old	log10.old	significant.level.old	FC.new	log2FC.new	fdr.new	log10.new	significant.level.new	grouping
Ifit2	-1.02327897390504	-0.0331995169323095	0.960460659201389	0.017520419289179214	0	-1.33266120849055	-0.414310062532169	0.0329320126605828	1.4823817262976788	2	new
Ache	-1.13339260729827	-0.180647697423407	0.233109624435258	0.6324397953218259	0	-1.14915799715934	-0.200577167042113	0.0316744109202893	1.4992914533647022	2	new
Abcc8	-1.09463308659689	-0.130447369503692	0.470579905339082	0.32736662196807137	0	-1.39214949160487	-0.477314138785082	0.00156774855412642	2.804723591085355	3	new
Smoc2	1.20437861110943	0.268288992185226	0.513677262789121	0.28930965729251923	0	1.80174583836207	0.849395513040504	9.78908665301253e-7	6.009257827099918	3	new
Inhba	1.13428190842548	0.18177924463881	0.548813785671141	0.26057498810722507	0	1.48710902234624	0.572510417553539	0.030351879931708	1.517814404467399	2	new
Arl2bp	1.01273428605359	0.0182556998271781	0.931288986614949	0.030915532963296802	0	1.1022750460703299	0.14048425847414	0.0329320126605828	1.4823817262976788	2	new
Wfs1	1.09677265872041	0.133264511951758	0.672064017105797	0.17258935648247326	0	1.35455158216024	0.437815333303561	0.0263386691969992	1.5794061722368273	2	new
Kcns3	-1.32464277733794	-0.405603353753546	0.0713944061568846	1.1463358144194489	1	-1.4222533733835	-0.508178502904977	0.00435786003242413	2.3607267227180397	3	new
Rspo1	-1.45418718507601	-0.540212987001299	0.277139611822648	0.5573013956666995	0	-1.76982636207101	-0.823607824225064	0.0491724712957734	1.3082779645154712	2	new
Dlk1	1.71708285187721	0.77995965326468	0.480933517431484	0.3179149548282669	0	3.84447674824358	1.94278725382194	0.0299051966646587	1.5242533372045504	2	new
Cfap100	-1.1949137588866	-0.256906497606524	0.59439624154878	0.22592394534402535	0	1.47237622202104	0.55814635637678	0.025680002101879	1.5904049450566728	2	new
Ido2	-1.22592398170012	-0.293869521749355	0.67284395775305506	0.17208564327142817	0	-1.79443726107475	-0.843531483076751	0.0212112615657293	1.673433500519684	2	new
Mypn	-1.16042348811875	-0.21465140251816	0.678902830778865	0.16819238047117163	0	-1.57711820933067	-0.657290798127007	0.0498960247476832	1.3019340535532935	2	new
Emp1	-1.16599724466111	-0.221564379345915	0.841442683496101	0.07497546149343101	0	1.6987016504849	0.764432488683125	0.0212112615657293	1.673433500519684	2	new
Tmem100	-1.07653502260937	-0.106395255058295	0.877018118064903	0.05699143457656806	0	1.32798424031566	0.409238025786237	0.0378988210045442	1.42137430030066	2	new
Wnt2b	-1.0717967931887	-0.100031404631085	0.916624602333827	0.03780849040954675	0	-2.42055693071242	-1.27533902631635	0.0450190116972685	1.3466040433011581	2	new
Pkhd1l1	1.19184828519875	0.253200601469784	0.928519290149397	0.03220906928724384	0	7.93189905708498	2.98766631766137	0.0287437665458541	1.5414563230876774	2	new
Tll2	1.07661449616722	0.106501755890537	0.935246971188506	0.02907368959674322	0	2.71228983530262	1.43951135310978	0.0299051966646587	1.5242533372045504	2	new
Th	1.0177607719846	0.025398491049562	0.985286191933335	0.00643760348772947	0	2.07817209611106	1.05531513062587	0.0329320126605828	1.4823817262976788	2	new
Cdhr1	-1.00314701876724	-0.00453305929306004	0.997623298440894	0.001033416921089375	0	2.51124892038917	1.32840503872979	0.020133420889998	1.6960824274250057	2	new
Slc22a2	-1.00167741729287	-0.00241797420055262	0.998963250284382	4.5048824275796545e-4	0	2.31559244473795	1.21138135449474	0.00784856459451975	2.1052097630867137	3	new
Fam205a4	NA	NA	NA	NA	3	12003400776.0794	33.4827241536825	3.82578413909133e-16	15.417279537666323	3	new
Npy	-1.16376988343894	-0.218805816973082	0.0116003768726202	1.9355279012006166	2	1.05049243838368	0.0710657772935633	0.807940172982384	0.09262079702935443	0	old
Myl12b	-1.2229261922949	-0.290337334999127	1.63473241509629e-4	3.7865533256689585	3	1.09805355613235	0.134948421631152	0.420466614097925	0.37626848235992566	0	old
Rpl35a	-1.18762700827414	-0.248081807682839	1.10040360215209e-5	4.95844799662458	3	1.02118228012962	0.0302404089848624	0.964036857570913	0.015906361601665992	0	old
Cox8a	-1.18619143719868	-0.246336862505714	0.00157361190339239	2.803102367909463	3	1.0482947307867	0.0680443913646806	0.777169260443289	0.10948438548330817	0	old
Prrt2	-1.16857076992496	-0.224745107957369	2.29583295147083e-4	3.6390597150953745	3	-1.01009597937178	-0.0144923844471939	0.981265622073443	0.008213416079775855	0	old
Mt2	-1.30665440270247	-0.385877612871863	0.0250259222377523	1.601609909237781	2	1.09554304112095	0.131646165288391	0.727534409544801	0.13814646141829875	0	old
Arfgef3	1.11655608583291	0.159055721129719	0.0488297981143913	1.3113150712921018	2	-1.11920790836012	-0.162478061782232	0.412512763760965	0.3845626091863067	0	old
Zkscan16	1.17031943263677	0.226902359708483	0.0221021652738853	1.6555651778788514	2	-1.15676960841172	-0.210101554246704	0.643430585522758	0.19149829872150972	0	old
Rps8	-1.17056517632319	-0.227205265026991	7.52916374730358e-5	4.12325325754428	3	-1.08702288119407	-0.120382308569266	0.551361565945545	0.258563510771997	0	old
Rpl13	-1.40340335478984	-0.488929716243593	4.32243102797887e-7	6.36427192793424	3	-1.04830692063674	-0.0680611673089194	0.849139461965907	0.0710209757299305	0	old
Atp5k	-1.18136970157905	-0.240460516952915	0.0230755417687261	1.6368480937947416	2	1.06464076858192	0.0903667179520357	0.749224037248013	0.12538829766531331	0	old
Rplp1	-1.23246935252283	-0.30155177194756	0.00157361190339239	2.803102367909463	3	1.01367553328877	0.019595934959426	0.966320330216411	0.014878883331469318	0	old
Tmem245	1.14093230217422	0.190213191087566	0.0205756608350987	1.6866462075165198	2	-1.11329897046429	-0.154841072721431	0.629605430315781	0.20093153486435353	0	old
Fau	-1.18663454664462	-0.246875689888771	5.92642843989163e-4	3.227206955226058	3	-1.05006031140003	-0.0704721930903555	0.860328054802896	0.06533591477518229	0	old
Gapdh	-1.10936079048484	-0.149728640515758	0.0229283059736872	1.6396280313344964	2	1.01909592624172	0.0272898569989868	0.90743342265196	0.042185228810359486	0	old
